Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
1.609835625,-111.5708,28.75289,80.89988,0.01929124,-0.2142343,0.6804167,1.961974,2.484274,-58.12567,992.0229
1.619881630,-108.9944,29.29173,72.63192,0.01808229,-0.1256689,0.67513,9.280487,8.867786,-53.83659,992.025
1.629927635,-116.2942,42.76278,70.30463,0.03588986,-0.177271,0.4440303,9.280487,8.867786,-53.83659,992.025
1.637462139,-101.5105,45.09776,74.59173,0.06692187,-0.2021025,0.2996426,9.280487,8.867786,-53.83659,992.025
1.647507191,-86.97207,41.56535,89.41283,0.06418855,-0.3315694,0.1704477,9.280487,8.867786,-53.83659,992.025
1.657553196,-78.32264,20.73013,106.01,0.005785178,-0.2869334,0.1554356,9.280487,8.867786,-53.83659,992.025
1.667599201,-61.26916,13.30608,123.2809,0.03510728,-0.2732013,0.1895746,12.55824,12.4312,-49.24149,992.0215
1.677644730,-25.56727,12.82711,134.0598,-0.1231674,-0.1928543,0.04655202,12.55824,12.4312,-49.24149,992.0215
1.687690735,68.28822,0.2541297,94.12862,-0.2000683,-0.2592822,-0.1790779,12.55824,12.4312,-49.24149,992.0215
1.697736740,113.9891,-7.529144,107.7861,-0.06414731,-0.05213879,0.3284673,12.55824,12.4312,-49.24149,992.0215
1.707782745,85.83245,18.03592,117.1564,-0.1253863,0.007646186,0.4986725,12.55824,12.4312,-49.24149,992.0239
1.717827797,19.45883,37.075,117.4627,-0.1953789,-0.002543946,0.576908,14.74078,15.64931,-45.87263,992.0239
1.727873802,17.92524,33.42285,110.3583,-0.2094088,-0.1945103,0.1279324,14.74078,15.64931,-45.87263,992.0239
1.737919331,44.73233,19.89193,105.0301,-0.1742684,-0.0784999,0.3553283,14.74078,15.64931,-45.87263,992.0239
1.747965336,62.27656,9.055216,96.70088,-0.2306506,-0.1562508,0.3151806,14.74078,15.64931,-45.87263,992.0204
1.758011341,116.0134,0.6732291,87.39177,-0.2732912,-0.1692779,0.02967585,14.74078,15.64931,-45.87263,992.0204
1.768057346,192.5087,-9.744383,91.25015,-0.2367411,-0.09698569,0.4496302,15.45065,11.9741,-40.61565,992.0204
1.778102875,197.1708,-2.978922,91.00517,-0.2520253,-0.0586658,0.7714348,15.45065,11.9741,-40.61565,992.0204
1.788148403,165.5789,10.552,94.49609,-0.3011501,-0.02252629,1.068472,15.45065,11.9741,-40.61565,992.0228
1.798194408,95.95412,31.26748,97.12959,-0.2970496,0.05650231,1.244957,15.45065,11.9741,-40.61565,992.0228
1.808239937,27.1881,53.12052,90.94393,-0.2703289,-0.1072746,0.8016293,15.45065,11.9741,-40.61565,992.0228
1.818285942,54.66997,38.09281,89.71905,-0.291366,-0.09958164,0.7123431,17.99624,7.197883,-34.83831,992.0228
1.828331947,46.75667,27.73507,82.98219,-0.2684194,-0.04275652,0.7637218,17.99624,7.197883,-34.83831,992.0211
1.838377476,53.87251,12.94685,76.98026,-0.3468769,-0.112384,0.5073788,17.99624,7.197883,-34.83831,992.0211
1.848423481,181.4669,-41.11696,63.38404,-0.5469286,-0.1686712,0.3511299,17.99624,7.197883,-34.83831,992.0211
1.858469009,281.0887,-68.71765,34.29305,-0.4146827,0.008884389,0.7076702,17.99624,7.197883,-34.83831,992.0211
1.868514538,302.0681,-73.68697,22.96287,-0.3062279,0.1621953,1.146204,22.02613,0.3209348,-31.22899,992.0231
1.878560543,209.3782,-52.85175,17.94085,-0.3090242,0.2527647,1.462351,22.02613,0.3209348,-31.22899,992.0231
1.888606548,87.24335,-14.65383,18.00209,-0.2581734,0.2088693,1.430003,22.02613,0.3209348,-31.22899,992.0231
1.898652554,20.07226,12.88698,18.92076,-0.2696381,-0.01785007,1.014277,22.02613,0.3209348,-31.22899,992.0231
1.908698082,39.57948,16.1799,26.51504,-0.202323,-0.05555115,0.9608974,22.02613,0.3209348,-31.22899,992.0214
1.918744087,39.27277,19.17347,42.92848,-0.2110743,0.01484672,0.9658012,26.05326,-6.6211,-27.11095,992.0214
1.928789139,30.80737,26.35803,50.27778,-0.2490471,0.04627158,0.9954175,26.05326,-6.6211,-27.11095,992.0214
1.938835144,21.91257,22.88549,51.01271,-0.2971346,-0.0004266845,1.04689,26.05326,-6.6211,-27.11095,992.0214
1.948881149,37.80052,19.1136,49.05289,-0.4117963,0.1387837,0.6452896,26.05326,-6.6211,-27.11095,992.0197
1.958927155,65.95717,11.45007,36.19162,-0.5171249,0.3140328,1.050976,26.05326,-6.6211,-27.11095,992.0197
1.968972683,36.57365,-7.34953,22.28919,-0.383908,0.1605794,1.170063,30.46779,-9.176249,-27.46571,992.0197
1.979018688,5.65655,3.068083,11.20399,-0.3476788,-0.02729513,1.043719,30.46779,-9.176249,-27.46571,992.0197
1.989064693,-5.017212,-2.859179,3.609708,-0.3148993,0.01659767,0.9510796,30.46779,-9.176249,-27.46571,992.0179
1.999109745,-8.452445,-11.00168,-13.1712,-0.2567881,0.0828621,0.901886,30.46779,-9.176249,-27.46571,992.0179
2.009155750,-4.649151,-11.42078,-19.66308,-0.2151542,-0.03412233,1.002616,30.46779,-9.176249,-27.46571,992.0179
2.019201756,0.6263865,-10.58258,-11.0889,-0.1936813,-0.08262076,0.9516509,32.29633,-13.19292,-25.06409,992.0179
2.029247284,-0.9071999,-5.912618,6.610673,-0.1987241,-0.08705491,1.017201,32.29633,-13.19292,-25.06409,992.0186
2.039293289,3.325499,8.516374,19.47195,-0.2601681,0.04163396,1.012143,32.29633,-13.19292,-25.06409,992.0186
2.049339294,19.33614,20.96961,15.30735,-0.2224561,-0.03142014,1.019956,32.29633,-13.19292,-25.06409,992.0186
2.059385299,49.08772,10.25264,15.12362,-0.200423,-0.261651,0.8741052,32.29633,-13.19292,-25.06409,992.0186
2.069430351,97.30367,-14.95319,18.61454,-0.25048,0.0679404,0.9570922,37.03107,-12.56224,-17.55168,992.0168
2.079476356,117.1176,-35.66867,8.509243,-0.2273601,0.1655893,0.9480348,37.03107,-12.56224,-17.55168,992.0168
